y	y_type	x	degrees_freedom	deviance	residual_degrees_freedom	residual_deviance	p-value	coefficient	covariants	memo	FDR
BK.int	B	ACVR1B	0	0	64	2.77258872981388	NA	NA	Disease	NA	NA
BK.int	B	ACVR2A	0	0	64	2.77258872981388	NA	NA	Disease	NA	NA
BK.int	B	AJUBA	0	0	64	2.77258872981388	NA	NA	Disease	NA	NA
BK.int	B	AKT1	1	4.44089209850063e-16	63	2.77258872981388	0.99999998318584	-2.75150425296852e-14	Disease	NA	1
BK.int	B	APC	1	0	63	2.77258872981388	1	4.99875712772117e-14	Disease	NA	1
BK.int	B	AR	1	4.44089209850063e-16	63	2.77258872981388	0.99999998318584	-7.91387129350732e-13	Disease	NA	1
BK.int	B	ARHGAP35	1	0	63	2.77258872981388	1	5.76507385207684e-14	Disease	NA	1
BK.int	B	ARID1A	1	0	63	2.77258872981388	1	8.09350778367878e-13	Disease	NA	1
BK.int	B	ARID5B	1	4.44089209850063e-16	63	2.77258872981388	0.99999998318584	1.96714487916126e-14	Disease	NA	1
BK.int	B	ASXL1	1	0	63	2.77258872981388	1	-3.0594454062022e-13	Disease	NA	1
BK.int	B	ATM	1	0	63	2.77258872981388	1	-9.50022429427257e-14	Disease	NA	1
BK.int	B	ATR	1	0	63	2.77258872981388	1	3.34380802687887e-14	Disease	NA	1
BK.int	B	ATRX	1	0	63	2.77258872981388	1	-1.10730927715665e-13	Disease	NA	1
BK.int	B	AXIN2	1	0	63	2.77258872981388	1	-9.80282511888581e-14	Disease	NA	1
BK.int	B	B4GALT3	0	0	64	2.77258872981388	NA	NA	Disease	NA	NA
BK.int	B	BAP1	0	0	64	2.77258872981388	NA	NA	Disease	NA	NA
BK.int	B	BRAF	1	0	63	2.77258872981388	1	-2.89785834322024e-13	Disease	NA	1
BK.int	B	BRCA1	1	0	63	2.77258872981388	1	4.8301352376562e-14	Disease	NA	1
BK.int	B	BRCA2	1	0	63	2.77258872981388	1	-2.45543672179371e-13	Disease	NA	1
BK.int	B	C1QA	0	0	64	2.77258872981388	NA	NA	Disease	NA	NA
