gene	correlation_coef	P
A1BG	0.816379874259707	2.0216341346807e-16
A2M	0.899881395153552	9.52816633173567e-29
A2ML1	NA	NA
AAAS	0.447673873184618	4.45957751833058e-05
AACS	0.799111550596284	0.00104819797559873
AADAT	NA	NA
AAED1	NA	NA
AAGAB	0.699752562521402	4.01828828102613e-12
AAK1	0.600199246079533	7.95829279290883e-09
AAMDC	0.731232068803564	4.30629667017695e-14
AAMP	0.574704589646681	0.0399293563694475
AAR2	NA	NA
AARD	NA	NA
AARS	0.46347469990887	2.18707917539697e-05
AARS2	NA	NA
AARSD1	NA	NA
AASDHPPT	0.586474795008394	0.00412090003303695
AASS	NA	NA
AATF	0.633400976933166	6.32969673051734e-10
ABAT	0.887381588031332	3.38503139292728e-09
ABCA1	-0.319288554611783	0.0576774150118096
ABCA12	NA	NA
ABCA2	-0.0277475021898504	0.892965928352744
ABCA3	0.567167815565767	0.00311056712622983
ABCA8	NA	NA
ABCB10	NA	NA
ABCB6	NA	NA
ABCB7	NA	NA
ABCB8	NA	NA
ABCC1	0.790137810689569	5.80954934307898e-17
ABCC10	NA	NA
ABCC11	NA	NA
ABCC3	0.434218932056141	0.000527567300267711
ABCC4	0.648595236296079	8.21764592113333e-07
ABCC5	0.669095031644164	5.28655557491575e-05
ABCD1	NA	NA
ABCD3	0.79063648071377	2.56110706408949e-06
ABCD4	NA	NA
ABCE1	0.414631638732859	0.000396903541339988
ABCF1	0.617049125441216	2.28498466568707e-09
ABCF2	0.0370312828784165	0.880363745800238
ABCF3	0.0100047952746748	0.940582762142655
ABCG1	NA	NA
ABHD10	0.535026955223611	0.000152757661838871
ABHD11	0.766705611225389	3.1556985734841e-05
ABHD12	NA	NA
ABHD13	NA	NA
ABHD14B	0.582406961499791	4.18056474324907e-05
ABHD16A	NA	NA
ABHD17A	NA	NA
ABHD17B	NA	NA
ABHD17C	NA	NA
ABHD3	NA	NA
ABHD4	NA	NA
ABHD5	NA	NA
ABHD6	NA	NA
ABI1	0.098713400187597	0.393034434817228
ABI2	0.565642963756764	8.30577866682603e-08
ABI3	0.641245236320787	3.32748018008116e-10
ABI3BP	0.736497608414371	9.83166097712964e-11
ABL1	0.339373456623278	0.00253245551808462
ABL2	0.41301288938657	0.000344177031948871
ABLIM1	0.84716396705149	2.72409788490136e-22
ABLIM2	0.337950512156487	0.00451111858003379
ABLIM3	0.781852930705659	1.36214737258881e-15
ABR	0.558833236395279	1.27824691233423e-07
ABRACL	0.584773759383804	0.00854510357860002
ABT1	NA	NA
ABTB1	NA	NA
ABTB2	0.525934852570672	0.000828288731262431
ACAA1	0.484609874992737	0.00153024258231487
ACAA2	0.702312905986918	5.68959102499473e-10
ACACA	0.91732033593618	1.00666812882316e-31
ACACB	0.866548524327578	1.64306385888469e-22
ACAD10	NA	NA
ACAD11	NA	NA
ACAD8	NA	NA
ACAD9	0.187270887335783	0.403984571089199
ACADL	NA	NA
ACADM	0.525074098531161	0.000599144324700253
ACADS	0.769598413122845	0.00342137912571616
ACADSB	0.838226785896083	1.78185008667583e-10
ACADVL	0.644719245743865	1.70978840199166e-09
ACAN	NA	NA
ACAP1	0.839330346628786	6.16535057818504e-20
ACAP2	0.65915961524813	7.1347746550693e-11
ACAP3	0.24275743229078	0.153700377768111
ACAT1	0.578743993078079	1.94820857542179e-06
ACAT2	0.283515530370199	0.239496080364153
ACBD3	0.538933621515918	4.27024000941574e-07
ACBD5	0.529862837294542	1.69852455149852e-06
ACBD6	NA	NA
ACBD7	NA	NA
ACD	0.284633899763155	0.0177683455452964
ACE	0.27792387715126	0.505105050737421
ACE2	NA	NA
ACIN1	0.828508168492057	1.42852357850751e-20
ACLY	0.806597400470005	8.47156990294915e-19
ACN9	NA	NA
ACO1	0.709657626508903	2.0875856106225e-12
ACO2	0.519461501342093	1.29253730502112e-06
ACOT1	NA	NA
ACOT11	NA	NA
ACOT13	0.59556379312285	0.00345060999752814
ACOT2	0.767493512749347	7.47509576308931e-08
ACOT4	NA	NA
ACOT7	0.526227994933938	0.000978782863470904
ACOT8	0.828028264042763	0.0418184469912867
ACOT9	0.459237055962869	0.00252521312281748
ACOX1	0.858227050521168	1.69987328434587e-20
ACOX2	NA	NA
ACOX3	NA	NA
ACP1	0.253439892659018	0.029349366407732
ACP2	NA	NA
ACP5	NA	NA
ACP6	NA	NA
ACPP	NA	NA
ACSF2	0.361471297544583	0.00490968506113549
ACSF3	NA	NA
ACSL1	0.642229821371404	6.16244700813289e-09
ACSL3	0.745051173960827	1.79313091860694e-14
ACSL4	0.710571973895219	5.95312886533839e-10
ACSL5	NA	NA
ACSM1	NA	NA
ACSM3	NA	NA
ACSS1	0.573640744596967	0.00421171540177518
ACSS2	0.863156799491824	5.85714465584489e-24
ACSS3	0.749292572125299	0.0525295673626083
ACTA1	NA	NA
ACTA2	0.658314044238752	4.40027752689889e-10
ACTB	0.994385415659899	4.71968401325486e-05
ACTBL2	0.79352744286306	1.32201355937234e-06
ACTG1	0.461501972301912	0.249698980898304
ACTG2	NA	NA
ACTL6A	0.452020053262048	7.58503131698804e-05
ACTL6B	NA	NA
ACTL8	0.748474459336207	2.22714100542484e-09
ACTN1	0.858412176738379	1.92119789684686e-23
ACTN2	0.940305944045631	0.0173501444506969
ACTN3	NA	NA
ACTN4	0.768387520288787	3.43778195525516e-16
ACTR10	-0.22373375916867	0.388009497609893
ACTR1A	0.198591447025759	0.352230896346799
ACTR1B	0.0997288942263883	0.798510320299984
ACTR2	0.517957907578709	1.40395255958882e-06
ACTR3	0.160117431782712	0.179093996416083
ACTR3B	NA	NA
ACTR5	NA	NA
ACTR6	NA	NA
ACTR8	0.2417821589432	0.0422167363754603
ACVR1	NA	NA
ACY1	0.762360898847775	9.78582287906793e-07
ACY3	NA	NA
ACYP1	NA	NA
ACYP2	NA	NA
ADA	NA	NA
ADAL	NA	NA
ADAM10	0.399679591210263	0.00188186318001832
ADAM12	NA	NA
ADAM15	NA	NA
ADAM17	0.174709957724654	0.128583243923519
ADAM8	NA	NA
ADAM9	0.826198016243534	1.31417502933933e-18
ADAMDEC1	NA	NA
